POINT_X,POINT_Y,HARV88,HARV95,HARV2010
507229.7151,5119595.158,0.0678,0.1635,0.3813
507729.7151,5119595.158,0.0943,0.2299,0.3977
508229.7151,5119595.158,0.1008,0.2021,0.3862
508729.7151,5119595.158,0.0816,0.1271,0.2648
509229.7151,5119595.158,0.0319,0.0382,0.1229
509729.7151,5119595.158,0.0152,0.0163,0.0361
481729.7151,5119095.158,0.0046,0.01,0.205
482229.7151,5119095.158,0.0046,0.01,0.3185
482729.7151,5119095.158,0.0066,0.012,0.4426
483229.7151,5119095.158,0,0,0.4663
483729.7151,5119095.158,0.0266,0.0406,0.362
484229.7151,5119095.158,0.0504,0.0641,0.2989
484729.7151,5119095.158,0.0865,0.1013,0.3032
485229.7151,5119095.158,0.1088,0.1185,0.3723
485729.7151,5119095.158,0.0982,0.0999,0.3776
486229.7151,5119095.158,0.0968,0.0999,0.3619
486729.7151,5119095.158,0.0922,0.124,0.3584
487229.7151,5119095.158,0.1074,0.1543,0.3487
487729.7151,5119095.158,0.1386,0.1878,0.3473
488229.7151,5119095.158,0.1322,0.1806,0.3309
488729.7151,5119095.158,0.1091,0.1302,0.2966
489229.7151,5119095.158,0.0512,0.1176,0.3218
489729.7151,5119095.158,0.0218,0.1823,0.4267
490229.7151,5119095.158,3.00E-04,0.3186,0.5663
490729.7151,5119095.158,0,0.4849,0.7123
491229.7151,5119095.158,0,0.583,0.81
491729.7151,5119095.158,0,0.6355,0.817
492229.7151,5119095.158,3.00E-04,0.6327,0.7876
492729.7151,5119095.158,0.0011,0.5707,0.7653
493229.7151,5119095.158,0,0.5294,0.7615
