POINT_X,POINT_Y,HARV88,HARV95,HARV2010,Dhat1988,Dhat1995,Dhat2015
492729.7151,5104095.158,0.1297,0.1316,0.1751,0.209250747,0.20716991,0.16479945
493229.7151,5104095.158,0.1363,0.1374,0.1383,0.202111046,0.200945008,0.199995983
483729.7151,5103595.158,0.2738,0.3496,0.5209,0.098058798,0.065815757,0.026730929
484229.7151,5103595.158,0.4821,0.5388,0.6573,0.032782973,0.024328957,0.013044379
484729.7151,5103595.158,0.6702,0.6888,0.7985,0.012188627,0.011052618,0.006206799
485229.7151,5103595.158,0.6856,0.7156,0.8098,0.01124023,0.009599387,0.005848629
485729.7151,5103595.158,0.661,0.7283,0.8051,0.012792963,0.008979079,0.005995021
486229.7151,5103595.158,0.5731,0.7337,0.8056,0.02031276,0.008727625,0.005979275
486729.7151,5103595.158,0.4485,0.7311,0.827,0.039120447,0.008847804,0.005342722
487229.7151,5103595.158,0.3038,0.6702,0.7784,0.083744231,0.012188627,0.006898964
487729.7151,5103595.158,0.16,0.5305,0.6387,0.178422669,0.025414637,0.014385105
488229.7151,5103595.158,0.1747,0.5055,0.5874,0.165146553,0.028986357,0.018840923
488729.7151,5103595.158,0.2116,0.4644,0.5852,0.136011478,0.035981729,0.019060217
489229.7151,5103595.158,0.1291,0.3247,0.5334,0.209912186,0.075025892,0.025029904
489729.7151,5103595.158,0.069,0.1701,0.3534,0.287958185,0.169191173,0.064513292
490229.7151,5103595.158,0.0049,0.0862,0.2382,0.403421241,0.263049777,0.118252631
490729.7151,5103595.158,0.0049,0.0261,0.1114,0.403421241,0.360852497,0.23039409
491229.7151,5103595.158,0.0095,0.0089,0.0753,0.393777205,0.395021929,0.278572202
491729.7151,5103595.158,0.0764,0.0704,0.1426,0.276965037,0.28584545,0.195523246
492729.7151,5103595.158,0.2417,0.2426,0.2434,0.116095517,0.11554722,0.115062019
493229.7151,5103595.158,0.2067,0.2104,0.2104,0.139562605,0.136872698,0.136872698
483729.7151,5103095.158,0.2147,0.4359,0.5753,0.133811659,0.041801042,0.020079056
484229.7151,5103095.158,0.3587,0.5448,0.74,0.062739628,0.023573125,0.008443148
484729.7151,5103095.158,0.5574,0.651,0.8658,0.02206144,0.013483885,0.004356405
485229.7151,5103095.158,0.675,0.6876,0.8454,0.011884741,0.011122602,0.004849867
485729.7151,5103095.158,0.6507,0.657,0.7759,0.01350518,0.013064979,0.006990285
486229.7151,5103095.158,0.6396,0.6719,0.7584,0.014317167,0.012080122,0.007664285
486729.7151,5103095.158,0.621,0.7399,0.8109,0.015788712,0.008447591,0.005814887
487229.7151,5103095.158,0.4964,0.6937,0.757,0.030407561,0.010771387,0.007720934
487729.7151,5103095.158,0.3808,0.6307,0.7083,0.055854343,0.015003347,0.009975153
488229.7151,5103095.158,0.4293,0.6081,0.6767,0.043277691,0.016897223,0.011778941
488729.7151,5103095.158,0.3398,0.4509,0.5751,0.069297392,0.038629695,0.02010019
489229.7151,5103095.158,0.3175,0.4051,0.5777,0.077921763,0.049152577,0.019827171
489729.7151,5103095.158,0.2218,0.3141,0.4741,0.128906493,0.079327851,0.034191917
490229.7151,5103095.158,0.083,0.1606,0.2774,0.267514904,0.177860454,0.096219427
490729.7151,5103095.158,0.0258,0.0492,0.1062,0.361422372,0.319565825,0.236782803
491229.7151,5103095.158,0.0598,0.056,0.0589,0.302235731,0.308337598,0.303669907
491729.7151,5103095.158,0.1503,0.1423,0.1423,0.18776239,0.195832025,0.195832025
492229.7151,5102595.158,0.4303,0.4208,0.4208,0.043050648,0.045256544,0.045256544
492729.7151,5103095.158,0.3825,0.3908,0.3905,0.05535712,0.052992335,0.053076023
493229.7151,5103095.158,0.2891,0.3023,0.3021,0.090476421,0.084407586,0.084496429
483729.7151,5102595.158,0.1654,0.4662,0.6408,0.173426049,0.035642662,0.014227081
484229.7151,5102595.158,0.2227,0.4875,0.7824,0.128297692,0.031864906,0.006755326
484729.7151,5102595.158,0.3836,0.5047,0.8253,0.055037748,0.029108589,0.005390711
485229.7151,5102595.158,0.5197,0.5432,0.7954,0.026900188,0.023772353,0.006308837
485729.7151,5102595.158,0.6215,0.6224,0.7913,0.015747243,0.015672871,0.006446371
486229.7151,5102595.158,0.6957,0.7011,0.7635,0.010658666,0.010360177,0.007461417
486729.7151,5102595.158,0.6972,0.7516,0.802,0.0105749,0.007943383,0.006093577
487229.7151,5102595.158,0.6424,0.7561,0.8153,0.014107849,0.007757571,0.005681852
487729.7151,5102595.158,0.5531,0.6585,0.7335,0.022566111,0.012962302,0.008736811
488229.7151,5102595.158,0.516,0.5913,0.686,0.027428847,0.018458358,0.011216605
488729.7151,5102595.158,0.5282,0.5428,0.675,0.025723971,0.023822423,0.011884741
489229.7151,5102595.158,0.5279,0.5791,0.7166,0.025764595,0.0196817,0.009549027
489729.7151,5102595.158,0.3987,0.4711,0.6211,0.050835416,0.034735745,0.01578041
490229.7151,5102595.158,0.2445,0.2834,0.3827,0.114398192,0.09323016,0.055298914
490729.7151,5102595.158,0.2007,0.2024,0.2422,0.144037442,0.142755201,0.115790587
491229.7151,5102595.158,0.2044,0.2046,0.2046,0.141261288,0.141112759,0.141112759
491729.7151,5102595.158,0.2883,0.282,0.282,0.090857948,0.093919241,0.093919241
492229.7151,5102595.158,0.4303,0.4208,0.4208,0.043050648,0.045256544,0.045256544
492729.7151,5102595.158,0.4791,0.4862,0.486,0.033304392,0.032083545,0.032117315
493229.7151,5102595.158,0.3765,0.3927,0.3925,0.057132051,0.052465367,0.05252059
483729.7151,5102095.158,0.124,0.4903,0.7196,0.2156195,0.031399039,0.009399526
484229.7151,5102095.158,0.148,0.4383,0.775,0.190047735,0.041276663,0.007023455
484729.7151,5102095.158,0.2196,0.3207,0.7501,0.130406863,0.07662116,0.008006304
485229.7151,5102095.158,0.325,0.3408,0.7468,0.074907594,0.068933845,0.008146491
485729.7151,5102095.158,0.5162,0.5024,0.7271,0.027400007,0.029462883,0.009035934
486229.7151,5102095.158,0.7672,0.7601,0.799,0.007317606,0.007596057,0.006190496
486729.7151,5102095.158,0.8199,0.8425,0.8534,0.005546024,0.004924414,0.004650019
487229.7151,5102095.158,0.7575,0.7907,0.8145,0.007700654,0.006466748,0.005705812
487729.7151,5102095.158,0.6656,0.7029,0.7618,0.01248714,0.010262549,0.007528436
488229.7151,5102095.158,0.5713,0.6057,0.6925,0.020505995,0.017111885,0.010839591
488729.7151,5102095.158,0.6038,0.6086,0.7217,0.017283759,0.016852842,0.00929627
489229.7151,5102095.158,0.6064,0.6143,0.7277,0.017048995,0.016355059,0.009007461
489729.7151,5102095.158,0.5137,0.5298,0.6306,0.027762697,0.025508386,0.01501124
490229.7151,5102095.158,0.4566,0.4618,0.5013,0.03748869,0.036477195,0.02963385
490729.7151,5102095.158,0.3971,0.4011,0.4157,0.051265052,0.050197704,0.046487027
491229.7151,5102095.158,0.3405,0.3462,0.3462,0.069042709,0.067003394,0.067003394
491729.7151,5102095.158,0.4077,0.3956,0.3956,0.048484942,0.051671133,0.051671133
492229.7151,5102095.158,0.5577,0.5571,0.5571,0.022026654,0.02209628,0.02209628
492729.7151,5102095.158,0.5221,0.5292,0.529,0.026562735,0.025589018,0.025615952
493229.7151,5102095.158,0.4357,0.45,0.4498,0.04184504,0.038813001,0.038853854
483729.7151,5101595.158,0.1322,0.4063,0.6529,0.206517113,0.048843303,0.013349798
484229.7151,5101595.158,0.0836,0.2894,0.7215,0.266671957,0.090333762,0.009306055
484729.7151,5101595.158,0.1477,0.1683,0.704,0.190347867,0.170800683,0.010203342
485229.7151,5101595.158,0.3851,0.379,0.8049,0.054605209,0.056385683,0.006001331
485729.7151,5101595.158,0.5462,0.5353,0.7564,0.02340017,0.024781001,0.007745339
486229.7151,5101595.158,0.7575,0.7497,0.8048,0.007700654,0.008023167,0.006004489
486729.7151,5101595.158,0.848,0.8535,0.8675,0.004783992,0.004647574,0.004317624
487229.7151,5101595.158,0.7847,0.8147,0.8379,0.006674093,0.005699812,0.005045018
487729.7151,5101595.158,0.7263,0.756,0.8033,0.009074037,0.007761653,0.006052051
488229.7151,5101595.158,0.6546,0.6848,0.7428,0.013230957,0.011287628,0.008319709
488729.7151,5101595.158,0.623,0.627,0.7134,0.015623486,0.015298202,0.009711117
489229.7151,5101595.158,0.6479,0.6444,0.718,0.013705556,0.013960212,0.009478966
489729.7151,5101595.158,0.7014,0.7026,0.7379,0.010343841,0.010278756,0.008536928
